Period, Value
1,33780
2,33828
3,34004
4,34086
5,34147
6,34126
7,33934
8,33745
9,33610
10,33605
11,33721
12,33829
13,33936
14,34051
15,34157
16,34256
17,34301
18,34252
19,34071
20,33851
21,33696
22,33713
23,33858
24,33991
25,34092
26,34169
27,34287
28,34383
29,34430
30,34342
31,34185
32,33982
33,33798
34,33809
35,33924
36,34067
37,34142
38,34267
39,34345
40,34508
41,34575
42,34532
43,34393
44,34208
45,34000
46,34012
47,34135
48,34289
49,34387
50,34459
51,34529
52,34658
53,34736
54,34680
55,34537
56,34306
57,34124
58,34154
59,34290
60,34436
61,34508
62,34589
63,34749
64,34802
65,34875
66,34819
67,34649
68,34470
69,34304
70,34292
71,34422
72,34561
73,34642
74,34695
75,34788
76,34957
77,35035
78,34970
79,34778
80,34589
81,34488
82,34434
83,34567
84,34689
85,34820
86,34855
87,34956
88,35112
89,35184
90,35145
91,34977
92,34762
93,34637
94,34648
95,34780
96,34903
97,35023
98,35158
99,35222
100,35353
101,35414
102,35364
103,35253
104,35042
105,34884
106,34894
107,34999
108,35129
109,35272
110,35310
111,35364
112,35543
113,35570
114,35511
115,35379
116,35142
117,34983
118,35010
119,35126
120,35266
121,35363
122,35472
123,35549
124,35610
125,35708
126,35611
127,35467
128,35267
129,35105
130,35136
131,35281
132,35421
133,35487
134,35567
135,35700
136,35840
137,35900
138,35799
139,35596
140,35378
141,35220
142,35222
143,35370
144,35498
145,35608
146,35684
147,35773
148,35891
149,35945
150,35919
151,35672
152,35477
153,35280
154,35321
155,35415
156,35539
157,35676
158,35717
159,35826
160,35917
161,36007
162,35941
163,35736
164,35529
165,35396
166,35403
167,35527
168,35670
169,35805
170,35880
171,35967
172,36113
173,36148
174,36060
175,35920
176,35723
177,35542
178,35589
179,35741
180,35874
181,35973
182,36061
183,36160
184,36305
185,36362
186,36303
187,36155
188,35894
189,35793
190,35780
191,35922
192,36042
193,36183
194,36294
195,36391
196,36428
197,36493
198,36470
199,36331
200,36115
201,35941
202,35934
203,36062
204,36196
205,36281
206,36387
207,36425
208,36602
209,36647
210,36536
211,36410
212,36189
213,36005
214,36049
215,36221
216,36412
217,36500
218,36582
219,36695
220,36842
221,36933
222,36878
223,36759
224,36581
225,36383
226,36418
227,36536
228,36687
229,36797
230,36883
231,36946
232,37077
233,37066
234,37010
235,36910
236,36670
237,36461
238,36517
239,36651
240,36785
241,36907
242,36932
243,37038
244,37163
245,37132
246,37151
247,36969
248,36818
249,36687
250,36694
251,36827
252,36962
253,37047
254,37144
255,37239
256,37332
257,37377
258,37313
259,37151
260,36959
261,36812
262,36838
263,36964
264,37111
265,37238
266,37308
267,37387
268,37493
269,37558
270,37544
271,37391
272,37177
273,37072
274,37050
275,37219
276,37371
277,37492
278,37563
279,37651
280,37775
281,37854
282,37821
283,37665
284,37428
285,37312
286,37310
287,37467
288,37597
289,37703
290,37787
291,37888
292,38042
293,38062
294,37966
295,37748
296,37607
297,37410
298,37447
299,37615
300,37751
301,37843
302,37970
303,38091
304,38220
305,38245
306,38214
307,38060
308,37860
309,37672
310,37698
311,37829
312,38007
313,38136
314,38219
315,38265
316,38465
317,38494
318,38401
319,38215
320,38033
321,37881
322,37906
323,38017
324,38185
325,38288
326,38377
327,38442
328,38636
329,38653
330,38601
331,38445
332,38196
333,38081
334,38109
335,38237
336,38384
337,38542
338,38572
339,38596
340,38718
341,38850
342,38788
343,38638
344,38415
345,38307
346,38298
347,38411
348,38554
349,38693
350,38741
351,38877
352,38944
353,39018
354,38937
355,38779
356,38592
357,38477
358,38438
359,38599
360,38726
361,38845
362,38984
363,39108
364,39246
365,39296
366,39203
367,39013
368,38815
369,38680
370,38718
371,38859
372,38969
373,39119
374,39177
375,39241
376,39329
377,39416
378,39369
379,39238
380,39007
381,38900
382,39416
