Date,Total Number of Visitors
03/31/2013,3516
03/30/2013,2895
03/29/2013,5483
03/28/2013,7029
03/27/2013,7218
03/26/2013,7557
03/25/2013,7294
03/24/2013,3628
03/23/2013,3052
03/22/2013,6061
03/21/2013,7627
03/20/2013,7494
03/19/2013,7886
03/18/2013,8075
03/17/2013,3670
03/16/2013,3074
03/15/2013,5663
03/14/2013,7718
03/13/2013,7690
03/12/2013,8526
03/11/2013,8284
03/10/2013,3423
03/09/2013,3324
03/08/2013,6835
03/07/2013,8713
03/06/2013,9592
03/05/2013,8795
03/04/2013,8412
03/03/2013,4370
03/02/2013,3137
03/01/2013,6031
02/28/2013,7380
02/27/2013,8934
02/26/2013,8085
02/25/2013,7023
02/24/2013,3816
02/23/2013,3350
02/22/2013,6155
02/21/2013,7057
02/20/2013,7749
02/19/2013,7670
02/18/2013,6002
02/17/2013,3671
02/16/2013,2959
02/15/2013,5773
02/14/2013,7455
02/13/2013,7294
02/12/2013,8493
02/11/2013,9451
02/10/2013,3478
02/09/2013,2739
02/08/2013,5775
02/07/2013,7001
02/06/2013,7844
02/05/2013,8052
02/04/2013,7725
02/03/2013,3886
02/02/2013,3654
02/01/2013,6246
01/31/2013,7166
01/30/2013,7668
01/29/2013,6886
01/28/2013,6924
01/27/2013,3521
01/26/2013,2881
01/25/2013,5343
01/24/2013,6086
01/23/2013,6269
01/22/2013,6071
01/21/2013,4212
01/20/2013,2527
01/19/2013,2069
01/18/2013,4357
01/17/2013,5946
01/16/2013,5965
01/15/2013,5852
01/14/2013,5484
01/13/2013,2584
01/12/2013,2074
01/11/2013,4933
01/10/2013,6265
01/09/2013,5803
01/08/2013,6071
01/07/2013,5718
01/06/2013,2200
01/05/2013,2017
01/04/2013,4636
01/03/2013,5049
01/02/2013,4551
01/01/2013,1693
12/31/2012,2356
12/30/2012,1845
12/29/2012,1728
12/28/2012,3362
12/27/2012,4296
12/26/2012,3602
12/25/2012,1580
12/24/2012,1887
12/23/2012,1748
12/22/2012,1698
